name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Cole Kmet,Tight End,Notre Dame,FBS Independents,78.0,262.0,4.7,,37.0,123.0,7.44,4.41,21.0,3,1,1,1,0,0,0,1.0,0.0,0.0,37.0,43.0,6.0,515.0,12.0,,,,,,24.0,15.0,0.0,162.0,10.8,,,,,,11.0,2.0,0.0,14.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
Devin Asiasi,Tight End,UCLA,Pac-12,75.0,257.0,4.73,16.0,30.5,115.0,,,23.0,4,0,1,1,1,1,0,,,,53.0,44.0,4.0,641.0,14.6,,,,,,30.0,6.0,1.0,130.0,21.7,,,,,,,,,,,,,,,,15.0,2.0,1.0,18.0,9.0,,,,,,,,,,,,,,
Josiah Deguara,Tight End,Cincinnati,American Athletic,74.0,242.0,4.72,25.0,35.5,115.0,7.15,4.35,23.0,4,0,1,1,1,1,0,1.0,0.0,0.0,73.0,39.0,7.0,504.0,12.9,0.0,2.0,1.0,2.0,0.0,38.0,38.0,5.0,468.0,12.3,,,,,,28.0,11.0,0.0,98.0,8.9,,,,,,28.0,4.0,0.0,47.0,11.8,1.0,0.0,0.0,-2.0,-2.0,,,,,,,,,
Dalton Keene,Tight End,Virginia Tech,ACC,76.0,253.0,4.71,21.0,34.0,125.0,7.07,4.19,21.0,3,1,1,1,0,0,0,1.0,1.0,0.0,27.0,20.0,5.0,236.0,11.8,11.0,7.0,0.0,33.0,3.0,67.0,28.0,3.0,341.0,12.2,,,,,,40.0,10.0,0.0,167.0,16.7,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Bryant,Tight End,Florida Atlantic,Conference USA,77.0,243.0,4.73,13.0,32.5,110.0,7.41,4.37,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,57.0,65.0,7.0,1004.0,15.4,,,,,,56.0,45.0,4.0,662.0,14.7,1.0,2.0,0.0,2.0,2.0,40.0,32.0,5.0,408.0,12.8,,,,,,20.0,6.0,0.0,63.0,10.5,,,,,,,,,,,,1.0,1.0,0.0
Albert Okwuegbunam,Tight End,Missouri,SEC,78.0,258.0,4.49,,,,,,22.0,3,0,1,1,1,0,0,,,,36.0,26.0,6.0,306.0,11.8,,,,,,58.0,43.0,6.0,466.0,10.8,,,,,,57.0,29.0,11.0,415.0,14.3,,,,,,,,,,,,,,,,2.0,2.0,0.0,1.0,1.0,0.0,,,
Colby Parkinson,Tight End,Stanford,Pac-12,79.0,252.0,4.77,18.0,32.5,109.0,7.15,4.46,21.0,3,1,1,1,0,0,0,,,,36.0,48.0,1.0,589.0,12.3,,,,,,75.0,29.0,7.0,485.0,16.7,,,,,,24.0,10.0,4.0,97.0,9.7,,,,,,,,,,,,,,,,,,,,,,,,
Brycen Hopkins,Tight End,Purdue,Big Ten,76.0,245.0,4.66,21.0,33.5,116.0,7.25,4.28,23.0,4,0,1,1,1,1,0,,,,72.0,61.0,7.0,830.0,13.6,,,,,,74.0,34.0,2.0,583.0,17.1,,,,,,38.0,25.0,3.0,349.0,14.0,,,,,,51.0,10.0,4.0,183.0,18.3,,,,,,,,,,,,,,
Charlie Woerner,Tight End,Georgia,SEC,77.0,244.0,4.78,21.0,34.5,120.0,7.18,4.46,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,20.0,9.0,1.0,78.0,8.7,,,,,,35.0,11.0,0.0,148.0,13.5,,,,,,50.0,9.0,0.0,100.0,11.1,,,,,,29.0,5.0,0.0,50.0,10.0,,,,,,,,,,,,,,
Tyler Davis,Tight End,Georgia Tech,ACC,76.0,240.0,,,,,,,23.0,4,0,1,1,1,1,0,,,,38.0,17.0,1.0,148.0,8.7,,,,,,41.0,22.0,6.0,226.0,10.3,,,,,,58.0,14.0,0.0,156.0,11.1,,,,,,24.0,11.0,1.0,107.0,9.7,,,,,,,,,,,,,,
Stephen Sullivan,Tight End,LSU,SEC,77.0,248.0,4.66,,36.5,123.0,7.51,4.62,23.0,3,0,0,1,1,1,0,,,,30.0,12.0,0.0,130.0,10.8,,,,,,42.0,23.0,2.0,363.0,15.8,2.0,11.0,0.0,20.0,10.0,46.0,11.0,1.0,219.0,19.9,2.0,4.0,1.0,5.0,2.5,,,,,,,,,,,,,,,,,,,
