name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Jaleel Scott,Wide Receiver,New Mexico State,Sun Belt,77.0,218.0,4.56,16.0,34.5,124.0,7.2,4.4,23.0,2,0,0,0,1,1,0,1.0,1.0,0.0,,,,,,41.0,76.0,9.0,1079.0,14.2,,,,,,45.0,23.0,5.0,283.0,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,
J'Mon Moore,Wide Receiver,Missouri,SEC,75.0,207.0,,,,,,,23.0,4,0,1,1,1,1,0,,,,,,,,,71.0,65.0,10.0,1082.0,16.6,,,,,,82.0,62.0,8.0,1012.0,16.3,0.0,0.0,1.0,0.0,0.0,,,,,,32.0,29.0,3.0,350.0,12.1,,,,,,,,,,,17.0,2.0,0.0,33.0,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,3.0,3.0,0.0,,,,,,
Jordan Lasley,Wide Receiver,UCLA,Pac-12,73.0,203.0,4.5,8.0,34.5,112.0,,4.19,21.0,3,1,1,1,0,0,0,,,,23.0,23.0,1.0,1.0,23.0,59.0,69.0,9.0,1264.0,18.3,4.0,5.0,0.0,-6.0,-1.5,75.0,41.0,5.0,620.0,15.1,,,,,,,,,,,7.0,3.0,0.0,17.0,5.7,,,,,,19.3,25.0,3.0,0.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,2.0,2.0,0.0,,,,,,
Marquez Valdes-Scantling,Wide Receiver,South Florida,American Athletic,76.0,206.0,4.37,15.0,30.5,124.0,,,23.0,4,0,1,1,1,1,0,,,,,,,,,95.0,53.0,6.0,879.0,16.6,8.0,75.0,1.0,108.0,13.5,77.0,22.0,5.0,415.0,18.9,2.0,4.0,0.0,4.0,2.0,,,,,,,,,,,,,,,,19.5,27.0,2.0,0.0,39.0,42.0,22.0,1.0,257.0,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,
Damion Ratley,Wide Receiver,Texas A&M,SEC,74.0,193.0,,,,,,,23.0,3,0,0,1,1,1,0,,,,,,,,,76.0,30.0,6.0,694.0,23.1,,,,,,20.0,2.0,0.0,26.0,13.0,,,,,,,,,,,42.0,15.0,2.0,200.0,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,
Deon Cain,Wide Receiver,Clemson,ACC,74.0,202.0,4.43,11.0,33.5,115.0,6.71,4.37,22.0,3,0,1,1,1,0,0,,,,,,,,,61.0,58.0,6.0,734.0,12.7,,,,,,65.0,38.0,9.0,724.0,19.1,,,,,,,,,,,67.0,34.0,5.0,582.0,17.1,1.0,0.0,0.0,-5.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,
Ray-Ray McCloud,Wide Receiver,Clemson,ACC,70.0,190.0,,,,,,,21.0,3,1,1,1,0,0,0,5.0,2.0,0.0,6.8,74.0,26.0,0.0,176.0,79.0,49.0,1.0,503.0,10.3,6.0,11.0,0.0,30.0,5.0,36.0,49.0,2.0,472.0,9.6,5.0,17.0,0.0,28.0,5.6,31.9,73.0,7.0,0.0,223.0,36.0,29.0,1.0,251.0,8.7,7.0,15.0,0.0,48.0,6.9,12.0,12.0,1.0,0.0,12.0,,,,,,,,,,,12.1,77.0,25.0,1.0,303.0,-3.0,0.0,1.0,0.0,-3.0,1.5,10.0,4.0,0.0,6.0,,,,,,,,,,,2018,6.0,3.0,0.0,,,,,,
Dylan Cantrell,Wide Receiver,Texas Tech,Big 12,75.0,226.0,4.59,18.0,38.5,130.0,6.56,4.03,24.0,4,0,0,1,1,1,1,,,,,,,,,42.0,71.0,7.0,816.0,11.5,1.0,3.0,1.0,3.0,3.0,54.0,58.0,8.0,675.0,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,20.0,2.0,312.0,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,
Russell Gage,Wide Receiver,LSU,SEC,72.0,183.0,,,,,,,22.0,2,0,0,1,1,0,0,1.0,0.0,1.0,,,,,,34.0,21.0,3.0,285.0,13.6,28.0,70.0,1.0,232.0,8.3,24.0,5.0,1.0,62.0,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,
Equanimeous St. Brown,Wide Receiver,Notre Dame,FBS Independents,77.0,214.0,,,,,,,21.0,3,1,1,1,0,0,0,,,,,,,,,75.0,33.0,4.0,515.0,15.6,,,,,,79.0,58.0,9.0,961.0,16.6,,,,,,,,,,,8.0,1.0,0.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,18.0,1.0,0.0,18.0,,,,,,,,,,,2018,1.0,1.0,0.0,,,,,,
Cedrick Wilson,Wide Receiver,Boise State,Mountain West,74.0,188.0,4.55,9.0,37.0,121.0,6.89,4.23,22.0,2,0,0,1,1,0,0,,,,13.2,73.0,10.0,0.0,132.0,65.0,83.0,7.0,1511.0,18.2,9.0,9.0,0.0,13.0,1.4,75.0,56.0,11.0,1129.0,20.2,3.0,6.0,0.0,7.0,2.3,,,,,,,,,,,,,,,,25.8,55.0,18.0,0.0,465.0,,,,,,,,,,,,,,,,21.3,44.0,13.0,0.0,277.0,,,,,,,,,,,,,,,,2018,4.0,0.0,0.0,,,,,,
Braxton Berrios,Wide Receiver,Miami,ACC,69.0,184.0,,11.0,,,,,22.0,4,1,1,1,1,0,0,,,,11.3,43.0,19.0,1.0,215.0,55.0,54.0,9.0,670.0,12.4,1.0,9.0,0.0,9.0,9.0,38.0,12.0,2.0,178.0,14.8,,,,,,20.0,20.0,1.0,0.0,20.0,14.0,12.0,0.0,86.0,7.2,4.0,60.0,0.0,72.0,18.0,,,,,,33.0,21.0,3.0,232.0,11.0,,,,,,15.9,44.0,13.0,0.0,207.0,20.0,32.0,2.0,0.0,40.0,4.2,20.0,11.0,0.0,46.0,,,,,,5.0,14.0,4.0,0.0,20.0,2018,,,,,,,,,
Javon Wims,Wide Receiver,Georgia,SEC,75.0,215.0,4.53,,33.5,113.0,7.0,,23.0,2,0,0,0,1,1,0,,,,,,,,,38.0,46.0,7.0,724.0,15.7,,,,,,51.0,17.0,1.0,190.0,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,
Marcell Ateman,Wide Receiver,Oklahoma State,Big 12,77.0,216.0,4.62,13.0,34.0,121.0,7.07,4.25,23.0,4,0,1,1,1,1,0,1.0,0.0,0.0,,,,,,69.0,59.0,8.0,1156.0,19.6,,,,,,,,,,,,,,,,,,,,,82.0,45.0,5.0,766.0,17.0,1.0,1.0,0.0,1.0,1.0,,,,,,43.0,20.0,0.0,268.0,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,
Richie James,Wide Receiver,Middle Tennessee,Conference USA,70.0,185.0,4.48,6.0,35.5,122.0,6.87,4.16,23.0,3,0,0,1,1,1,0,1.0,0.0,0.0,7.5,27.0,17.0,0.0,128.0,31.0,31.0,3.0,290.0,9.4,10.0,22.0,0.0,57.0,5.7,56.0,105.0,12.0,1625.0,15.5,38.0,36.0,4.0,339.0,8.9,18.0,18.0,1.0,0.0,18.0,69.0,108.0,8.0,1346.0,12.5,12.0,46.0,1.0,146.0,12.2,,,,,,,,,,,,,,,,5.3,20.0,7.0,0.0,37.0,21.5,29.0,2.0,0.0,43.0,,,,,,,,,,,,,,,,2018,3.0,1.0,0.0,,,,,,
Auden Tate,Wide Receiver,Florida State,ACC,77.0,228.0,4.68,,31.0,112.0,,,21.0,2,0,1,1,0,0,0,,,,,,,,,51.0,40.0,10.0,548.0,13.7,,,,,,39.0,25.0,6.0,409.0,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,1.0,1.0,0.0,,,,,,
Austin Proehl,Wide Receiver,North Carolina,ACC,69.0,175.0,,,,,,,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,28.0,28.0,1.0,0.0,28.0,47.0,21.0,1.0,337.0,16.0,,,,,,46.0,43.0,3.0,597.0,13.9,,,,,,,,,,,61.0,12.0,1.0,225.0,18.8,1.0,4.0,0.0,4.0,4.0,,,,,,20.0,15.0,0.0,106.0,7.1,1.0,0.0,0.0,0.0,0.0,9.8,17.0,5.0,0.0,49.0,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,
Trey Quinn,Wide Receiver,SMU,American Athletic,71.0,203.0,4.55,17.0,33.5,116.0,6.91,4.19,22.0,4,1,1,1,1,0,0,,,,,,,,,77.0,114.0,13.0,1236.0,10.8,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,46.0,5.0,0.0,83.0,16.6,,,,,,22.6,32.0,5.0,0.0,113.0,27.0,17.0,0.0,193.0,11.4,2.0,9.0,0.0,11.0,5.5,2.6,8.0,5.0,0.0,13.0,,,,,,,,,,,,,,,,7.0,7.0,1.0,0.0,7.0,2018,,,,,,,,,
Marquise Brown,Wide Receiver,Oklahoma,Big 12,69.0,166.0,,,,,,,22.0,2,0,0,1,1,0,0,,,,,,,,,77.0,75.0,10.0,1318.0,17.6,2.0,0.0,0.0,0.0,0.0,87.0,57.0,7.0,1095.0,19.2,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,1.0,1.0,0.0,,,,,,
N'Keal Harry,Wide Receiver,Arizona State,Pac-12,74.0,228.0,4.53,27.0,38.5,122.0,,,21.0,3,1,1,1,0,0,0,1.0,0.0,0.0,2.6,7.0,5.0,0.0,13.0,61.0,73.0,9.0,1088.0,14.9,7.0,6.0,1.0,10.0,1.4,70.0,82.0,8.0,1142.0,13.9,13.0,17.0,0.0,65.0,5.0,,,,,,37.0,58.0,5.0,659.0,11.4,3.0,34.0,2.0,69.0,23.0,,,,,,,,,,,,,,,,16.9,92.0,9.0,1.0,152.0,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,
Deebo Samuel,Wide Receiver,South Carolina,SEC,71.0,214.0,4.48,15.0,39.0,122.0,7.03,4.14,23.0,4,0,1,1,1,1,0,0.0,0.0,2.0,,,,,,89.0,62.0,11.0,882.0,14.2,8.0,11.0,0.0,26.0,3.3,68.0,15.0,3.0,250.0,16.7,2.0,25.0,1.0,30.0,15.0,26.9,100.0,16.0,1.0,431.0,47.0,59.0,1.0,783.0,13.3,15.0,23.0,6.0,98.0,6.5,24.5,90.0,24.0,1.0,587.0,48.0,12.0,1.0,161.0,13.4,,,,,,,,,,,97.0,97.0,2.0,2.0,194.0,2.7,7.0,3.0,0.0,8.0,24.0,24.0,1.0,0.0,24.0,,,,,,2019,,,,3.0,2.0,0.0,,,
A.J. Brown,Wide Receiver,Ole Miss,SEC,73.0,226.0,4.49,19.0,36.5,120.0,,,22.0,3,0,1,1,1,0,0,1.0,0.0,0.0,5.9,19.0,8.0,0.0,47.0,84.0,85.0,6.0,1355.0,15.9,,,,,,77.0,75.0,11.0,1252.0,16.7,,,,,,,,,,,37.0,29.0,2.0,412.0,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,2019,,,,,,,,,
Mecole Hardman,Wide Receiver,Georgia,SEC,70.0,187.0,4.33,17.0,36.5,119.0,,,21.0,3,1,1,1,0,0,0,3.0,1.0,0.0,11.8,30.0,23.0,0.0,271.0,59.0,34.0,7.0,532.0,15.6,5.0,30.0,0.0,36.0,7.2,80.0,25.0,4.0,418.0,16.7,8.0,35.0,2.0,61.0,7.6,17.0,17.0,1.0,0.0,17.0,,,,,,,,,,,25.2,41.0,14.0,0.0,353.0,,,,,,,,,,,20.1,70.0,16.0,1.0,321.0,25.3,47.0,20.0,0.0,505.0,,,,,,,,,,,,,,,,2019,1.0,0.0,0.0,,,,,,
JJ Arcega-Whiteside,Wide Receiver,Stanford,Pac-12,74.0,225.0,,,,,,,22.0,3,0,1,1,1,0,0,,,,,,,,,80.0,62.0,14.0,1040.0,16.8,,,,,,45.0,48.0,9.0,781.0,16.3,,,,,,,,,,,61.0,24.0,5.0,379.0,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,1.0,0.0,0.0,,,,,,
Parris Campbell,Wide Receiver,Ohio State,Big Ten,72.0,205.0,4.31,11.0,40.0,135.0,,4.03,22.0,3,0,1,1,1,0,0,,,,,,,,,71.0,88.0,11.0,983.0,11.2,10.0,78.0,1.0,102.0,10.2,74.0,40.0,3.0,584.0,14.6,10.0,44.0,1.0,132.0,13.2,27.8,91.0,21.0,0.0,584.0,16.0,13.0,0.0,121.0,9.3,4.0,24.0,1.0,54.0,13.5,,,,,,,,,,,,,,,,,,,,,36.6,82.0,9.0,0.0,329.0,,,,,,,,,,,,,,,,2019,2.0,2.0,0.0,,,,,,
Andy Isabella,Wide Receiver,Massachusetts,FBS Independents,69.0,188.0,4.31,15.0,36.5,121.0,6.95,4.15,22.0,4,1,1,1,1,0,0,2.0,2.0,0.0,11.0,15.0,2.0,0.0,22.0,89.0,101.0,13.0,1697.0,16.8,11.0,17.0,1.0,79.0,7.2,69.0,65.0,10.0,1020.0,15.7,14.0,42.0,1.0,135.0,9.6,14.0,14.0,1.0,0.0,14.0,55.0,62.0,7.0,801.0,12.9,12.0,26.0,0.0,100.0,8.3,,,,,,8.0,2.0,0.0,7.0,3.5,3.0,14.0,0.0,28.0,9.3,7.9,25.0,7.0,0.0,55.0,22.8,44.0,5.0,0.0,114.0,,,,,,17.5,31.0,18.0,0.0,315.0,,,,,,2019,3.0,1.0,0.0,2.0,1.0,0.0,,,
DK Metcalf,Wide Receiver,Ole Miss,SEC,75.0,228.0,,,,,,,21.0,3,1,1,1,0,0,0,,,,,,,,,75.0,26.0,5.0,569.0,21.9,,,,,,71.0,39.0,7.0,646.0,16.6,,,,,,,,,,,10.0,2.0,2.0,13.0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,
Diontae Johnson,Wide Receiver,Toledo,Mid-American,71.0,183.0,4.53,15.0,33.5,123.0,7.09,4.45,23.0,4,0,1,1,1,1,0,1.0,0.0,0.0,25.5,87.0,4.0,1.0,102.0,80.0,49.0,8.0,761.0,15.5,2.0,11.0,0.0,17.0,8.5,89.0,74.0,13.0,1278.0,17.3,2.0,5.0,0.0,9.0,4.5,,,,,,,,,,,,,,,,25.8,98.0,16.0,1.0,412.0,36.0,14.0,3.0,237.0,16.9,,,,,,18.5,83.0,13.0,1.0,241.0,22.8,99.0,30.0,1.0,683.0,,,,,,22.8,42.0,32.0,0.0,731.0,,,,,,2019,3.0,2.0,0.0,,,,,,
Jalen Hurd,Wide Receiver,Baylor,Big 12,77.0,226.0,,23.0,,,,,23.0,4,0,1,1,1,1,0,,,,,,,,,38.0,69.0,4.0,946.0,13.7,48.0,37.0,3.0,209.0,4.4,,,,,,,,,,,,,,,,23.0,10.0,2.0,81.0,8.1,122.0,28.0,3.0,451.0,3.7,,,,,,37.0,22.0,2.0,190.0,8.6,277.0,48.0,12.0,1288.0,4.6,6.5,13.0,2.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,2019,,,,2.0,1.0,0.0,,,
Terry McLaurin,Wide Receiver,Ohio State,Big Ten,72.0,208.0,4.35,18.0,37.5,125.0,7.01,4.15,23.0,3,0,0,1,1,1,0,,,,0.0,0.0,1.0,0.0,0.0,75.0,35.0,11.0,701.0,20.0,,,,,,84.0,29.0,6.0,436.0,15.0,,,,,,,,,,,19.0,11.0,2.0,114.0,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,1.0,0.0,0.0,0.0,0.0,1.0,,,
Miles Boykin,Wide Receiver,Notre Dame,FBS Independents,76.0,220.0,4.42,12.0,43.5,140.0,6.77,4.07,22.0,3,0,1,1,1,0,0,1.0,1.0,0.0,,,,,,40.0,59.0,8.0,872.0,14.8,,,,,,55.0,12.0,2.0,253.0,21.1,,,,,,,,,,,25.0,6.0,1.0,81.0,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,-2.0,1.0,0.0,-2.0,,,,,,,,,,,2019,,,,1.0,1.0,0.0,,,
Hakeem Butler,Wide Receiver,Iowa State,Big 12,77.0,227.0,4.48,18.0,36.0,128.0,,,23.0,3,0,0,1,1,1,0,,,,,,,,,83.0,60.0,9.0,1318.0,22.0,,,,,,74.0,41.0,7.0,697.0,17.0,,,,,,,,,,,39.0,9.0,2.0,134.0,14.9,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,
Gary Jennings Jr.,Wide Receiver,West Virginia,Big 12,73.0,214.0,,,,,,,22.0,4,1,1,1,1,0,0,,,,,,,,,75.0,54.0,13.0,917.0,17.0,,,,,,60.0,97.0,1.0,1096.0,11.3,,,,,,14.0,21.0,2.0,0.0,28.0,58.0,10.0,2.0,165.0,16.5,,,,,,,,,,,64.0,7.0,1.0,116.0,16.6,,,,,,,,,,,,,,,,1.9,18.0,21.0,0.0,39.0,23.4,35.0,5.0,0.0,117.0,5.3,21.0,13.0,0.0,69.0,2019,2.0,2.0,0.0,2.0,1.0,0.0,,,
Riley Ridley,Wide Receiver,Georgia,SEC,73.0,199.0,4.58,13.0,30.5,124.0,7.22,4.28,23.0,3,0,0,1,1,1,0,,,,,,,,,35.0,44.0,9.0,570.0,13.0,,,,,,47.0,14.0,2.0,218.0,15.6,1.0,5.0,0.0,5.0,5.0,,,,,,57.0,12.0,2.0,238.0,19.8,3.0,22.0,0.0,41.0,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,
Hunter Renfrow,Wide Receiver,Clemson,ACC,70.0,184.0,4.59,7.0,35.0,116.0,6.8,4.19,23.0,4,0,1,1,1,1,0,0.0,0.0,1.0,,,,,,40.0,49.0,1.0,544.0,11.1,,,,,,61.0,60.0,3.0,602.0,10.0,,,,,,,,,,,35.0,44.0,6.0,495.0,11.3,,,,,,,,,,,57.0,33.0,5.0,492.0,14.9,,,,,,,,,,,,,,,,,,,,,6.0,6.0,1.0,0.0,6.0,0.0,3.0,6.0,0.0,0.0,2019,,,,,,,,,
Darius Slayton,Wide Receiver,Auburn,SEC,73.0,190.0,4.39,11.0,40.5,135.0,7.0,4.15,22.0,3,0,1,1,1,0,0,1.0,0.0,0.0,,,,,,74.0,35.0,5.0,670.0,19.1,,,,,,62.0,29.0,5.0,643.0,22.2,,,,,,,,,,,56.0,15.0,1.0,292.0,19.5,,,,,,-11.0,0.0,1.0,0.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,1.0,1.0,0.0,,,,,,
Keesean Johnson,Wide Receiver,Fresno State,Mountain West,73.0,201.0,4.6,14.0,30.0,117.0,7.28,4.23,22.0,4,1,1,1,1,0,0,2.0,1.0,0.0,5.3,14.0,4.0,0.0,21.0,45.0,95.0,8.0,1340.0,14.1,4.0,7.0,0.0,14.0,3.5,81.0,77.0,8.0,1013.0,13.2,1.0,0.0,0.0,0.0,0.0,20.6,29.0,11.0,0.0,227.0,53.0,66.0,6.0,773.0,11.7,3.0,10.0,0.0,13.0,4.3,,,,,,29.0,37.0,2.0,337.0,9.1,,,,,,0.0,2.0,4.0,0.0,0.0,,,,,,5.1,10.0,7.0,0.0,36.0,,,,,,7.0,7.0,1.0,0.0,7.0,2019,2.0,2.0,0.0,1.0,0.0,0.0,,,
Travis Fulgham,Wide Receiver,Old Dominion,Conference USA,75.0,215.0,4.58,15.0,36.5,126.0,,,23.0,4,0,1,1,1,1,0,,,,,,,,,62.0,63.0,9.0,1083.0,17.2,,,,,,71.0,30.0,1.0,394.0,13.1,,,,,,,,,,,55.0,29.0,8.0,478.0,16.5,,,,,,,,,,,24.0,6.0,0.0,89.0,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,
Juwann Winfree,Wide Receiver,Colorado,Pac-12,75.0,215.0,,,,,,,23.0,2,0,0,0,1,1,0,,,,,,,,,33.0,28.0,2.0,324.0,11.6,,,,,,79.0,21.0,2.0,325.0,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,1.0,1.0,0.0,,,,,,
Marcus Green,Wide Receiver,UL Monroe,Sun Belt,68.0,190.0,,,,,,,23.0,4,0,1,1,1,1,0,4.0,3.0,0.0,7.2,30.0,14.0,0.0,101.0,80.0,50.0,8.0,855.0,17.1,20.0,60.0,1.0,193.0,9.7,80.0,55.0,5.0,847.0,15.4,15.0,74.0,0.0,184.0,12.3,21.3,50.0,14.0,0.0,298.0,65.0,36.0,4.0,344.0,9.6,14.0,28.0,0.0,119.0,8.5,20.3,43.0,19.0,0.0,385.0,49.0,63.0,7.0,698.0,11.1,3.0,5.0,0.0,5.0,1.7,17.0,71.0,5.0,1.0,85.0,32.4,95.0,27.0,4.0,876.0,9.4,25.0,10.0,0.0,94.0,18.4,30.0,11.0,0.0,202.0,,,,,,2019,2.0,1.0,0.0,2.0,0.0,0.0,,,
Kelvin Harmon,Wide Receiver,NC State,ACC,75.0,221.0,4.6,18.0,32.5,117.0,7.15,4.32,22.0,3,0,1,1,1,0,0,,,,,,,,,74.0,74.0,6.0,1086.0,14.7,,,,,,48.0,69.0,4.0,1017.0,14.7,,,,,,,,,,,68.0,27.0,5.0,462.0,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,
Scott Miller,Wide Receiver,Bowling Green,Mid-American,69.0,174.0,,,,,,,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,,,,,,76.0,70.0,9.0,1106.0,15.8,4.0,12.0,0.0,16.0,4.0,69.0,63.0,4.0,722.0,11.5,2.0,17.0,0.0,22.0,11.0,17.7,37.0,19.0,0.0,336.0,72.0,74.0,10.0,968.0,13.1,,,,,,,,,,,13.0,7.0,0.0,29.0,4.1,,,,,,4.8,19.0,4.0,0.0,19.0,,,,,,6.3,10.0,3.0,0.0,19.0,19.0,77.0,24.0,0.0,457.0,,,,,,2019,2.0,2.0,0.0,,,,,,
John Ursua,Wide Receiver,Hawai'i,Mountain West,69.0,178.0,,,,,,,25.0,3,0,0,0,0,1,1,,,,5.5,11.0,2.0,0.0,11.0,80.0,89.0,16.0,1343.0,15.1,2.0,3.0,1.0,4.0,2.0,85.0,47.0,5.0,667.0,14.2,,,,,,,,,,,44.0,53.0,3.0,652.0,12.3,4.0,5.0,1.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,30.0,8.0,0.0,63.0,,,,,,,,,,,2019,1.0,0.0,0.0,1.0,0.0,0.0,,,
Terry Godwin,Wide Receiver,Georgia,SEC,71.0,184.0,4.55,,36.5,117.0,6.96,,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,1.0,6.0,2.0,0.0,2.0,75.0,22.0,3.0,373.0,17.0,,,,,,59.0,38.0,6.0,639.0,16.8,,,,,,43.0,43.0,1.0,1.0,43.0,38.0,38.0,0.0,397.0,10.4,4.0,6.0,0.0,14.0,3.5,,,,,,35.0,35.0,2.0,379.0,10.8,7.0,28.0,1.0,37.0,5.3,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,27.0,27.0,1.0,0.0,27.0,14.5,19.0,4.0,0.0,58.0,2019,3.0,1.0,0.0,,,,,,
Dillon Mitchell,Wide Receiver,Oregon,Pac-12,73.0,197.0,4.46,12.0,36.5,122.0,,4.29,22.0,3,0,1,1,1,0,0,1.0,0.0,0.0,7.4,23.0,12.0,0.0,89.0,67.0,75.0,10.0,1184.0,15.8,1.0,5.0,0.0,5.0,5.0,67.0,42.0,4.0,517.0,12.3,4.0,17.0,0.0,6.0,1.5,16.3,21.0,3.0,0.0,49.0,6.0,2.0,0.0,9.0,4.5,,,,,,,,,,,,,,,,,,,,,3.3,9.0,3.0,0.0,10.0,,,,,,3.3,45.0,8.0,0.0,26.0,,,,,,,,,,,2019,2.0,0.0,0.0,1.0,1.0,0.0,,,
Olabisi Johnson,Wide Receiver,Colorado State,Mountain West,73.0,204.0,,,,,,,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,8.7,38.0,14.0,0.0,122.0,58.0,54.0,4.0,796.0,14.7,,,,,,48.0,41.0,2.0,595.0,14.5,,,,,,,,,,,73.0,28.0,4.0,613.0,21.9,1.0,13.0,0.0,13.0,13.0,,,,,,13.0,2.0,1.0,15.0,7.5,,,,,,4.0,18.0,12.0,0.0,48.0,23.0,23.0,1.0,0.0,23.0,,,,,,,,,,,,,,,,2019,2.0,1.0,0.0,,,,,,
