name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Amon-Ra St. Brown,Wide Receiver,USC,Pac-12,72.0,197.0,4.51,20.0,38.5,127.0,6.88,4.17,21.0,3,1,1,1,0,0,0,,,,5.5,24.0,12.0,0.0,66.0,48.0,41.0,7.0,478.0,11.7,,,,,,95.0,77.0,6.0,1042.0,13.5,7.0,37.0,1.0,60.0,8.6,,,,,,53.0,60.0,3.0,750.0,12.5,2.0,12.0,0.0,9.0,4.5,21.5,23.0,2.0,0.0,43.0,,,,,,,,,,,5.3,11.0,6.0,0.0,32.0,,,,,,9.0,9.0,1.0,0.0,9.0,,,,,,,,,,,1.0,1.0,0.0,2.0,1.0,0.0,,,
Jaelon Darden,Wide Receiver,North Texas,Conference USA,68.0,174.0,4.47,,35.5,122.0,6.66,3.98,22.0,4,1,1,1,1,0,0,,,,6.8,26.0,16.0,0.0,108.0,75.0,74.0,19.0,1190.0,16.1,1.0,0.0,0.0,-3.0,-3.0,68.0,76.0,12.0,736.0,9.7,2.0,8.0,0.0,13.0,6.5,,,,,,46.0,48.0,4.0,575.0,12.0,3.0,9.0,0.0,16.0,5.3,,,,,,28.0,32.0,3.0,281.0,8.8,1.0,1.0,0.0,1.0,1.0,5.3,15.0,4.0,0.0,21.0,4.0,4.0,1.0,0.0,4.0,12.4,33.0,5.0,0.0,62.0,18.4,31.0,16.0,0.0,295.0,11.9,81.0,10.0,1.0,119.0,,,,1.0,1.0,0.0,1.0,0.0,0.0
Tylan Wallace,Wide Receiver,Oklahoma State,Big 12,71.0,194.0,4.48,11.0,33.0,112.0,6.97,4.25,22.0,4,1,1,1,1,0,0,,,,,,,,,55.0,59.0,6.0,917.0,15.5,1.0,7.0,0.0,7.0,7.0,90.0,53.0,8.0,903.0,17.0,1.0,0.0,0.0,0.0,0.0,,,,,,56.0,85.0,12.0,1458.0,17.2,1.0,6.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,39.0,7.0,0.0,118.0,16.9,,,,,,,,,,,,,,,,7.3,19.0,3.0,0.0,22.0,,,,,,0.0,0.0,1.0,0.0,0.0,,,,3.0,3.0,0.0,,,
Jacob Harris,Wide Receiver,UCF,American Athletic,77.0,211.0,4.39,15.0,40.5,133.0,6.54,4.31,24.0,3,0,0,0,1,1,1,,,,,,,,,55.0,30.0,8.0,539.0,18.0,,,,,,74.0,19.0,1.0,448.0,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,
Ihmir Smith-Marsette,Wide Receiver,Iowa,Big Ten,73.0,181.0,4.43,,37.0,124.0,7.0,4.2,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,,,,,,53.0,25.0,4.0,345.0,13.8,7.0,31.0,1.0,54.0,7.7,58.0,44.0,5.0,722.0,16.4,11.0,45.0,3.0,108.0,9.8,29.5,60.0,24.0,0.0,707.0,60.0,23.0,3.0,334.0,14.5,9.0,20.0,0.0,71.0,7.9,21.0,33.0,6.0,0.0,126.0,31.0,18.0,2.0,187.0,10.4,7.0,17.0,0.0,41.0,5.9,,,,,,25.2,98.0,20.0,2.0,503.0,,,,,,33.5,74.0,4.0,0.0,134.0,,,,,,,,,,,,1.0,1.0,0.0
Simi Fehoko,Wide Receiver,Stanford,Pac-12,76.0,222.0,4.44,16.0,34.5,120.0,6.78,4.26,23.0,3,0,0,1,1,1,0,,,,,,,,,57.0,37.0,3.0,584.0,15.8,1.0,0.0,0.0,-1.0,-1.0,79.0,24.0,6.0,566.0,23.6,,,,,,,,,,,6.0,1.0,0.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell Powell,Wide Receiver,Clemson,ACC,72.0,204.0,4.53,16.0,36.5,128.0,7.03,4.21,23.0,4,0,1,1,1,1,0,,,,,,,,,70.0,53.0,7.0,882.0,16.6,,,,,,26.0,15.0,2.0,122.0,8.1,,,,,,29.3,43.0,4.0,0.0,117.0,42.0,5.0,0.0,63.0,12.6,,,,,,15.0,15.0,1.0,0.0,15.0,14.0,8.0,1.0,57.0,7.1,,,,,,,,,,,,,,,,,,,,,21.7,22.0,3.0,0.0,65.0,,,,,,,,,,,,,,
Frank Darby,Wide Receiver,Arizona State,Pac-12,72.0,201.0,4.56,19.0,34.5,117.0,7.05,4.25,23.0,4,0,1,1,1,1,0,,,,,,,,,15.0,6.0,1.0,46.0,7.7,,,,,,62.0,31.0,8.0,616.0,19.9,,,,,,,,,,,72.0,21.0,2.0,421.0,20.0,,,,,,,,,,,53.0,9.0,2.0,234.0,26.0,1.0,21.0,1.0,21.0,21.0,,,,,,20.0,20.0,1.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,
Marquez Stevenson,Wide Receiver,Houston,American Athletic,70.0,180.0,4.48,,33.0,122.0,6.76,4.14,23.0,3,0,0,1,1,1,0,1.0,1.0,0.0,,,,,,51.0,20.0,4.0,307.0,15.4,3.0,14.0,0.0,16.0,5.3,96.0,52.0,9.0,907.0,17.4,9.0,34.0,0.0,89.0,9.9,22.4,41.0,12.0,0.0,269.0,79.0,75.0,9.0,1019.0,13.6,14.0,60.0,2.0,126.0,9.0,36.3,97.0,4.0,1.0,145.0,,,,,,,,,,,,,,,,26.3,94.0,18.0,2.0,473.0,7.3,9.0,3.0,0.0,22.0,,,,,,,,,,,3.0,1.0,0.0,3.0,1.0,0.0,,,
Shi Smith,Wide Receiver,South Carolina,SEC,70.0,186.0,,,,,,,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,,,,,,36.0,55.0,4.0,621.0,11.3,6.0,6.0,0.0,6.0,1.0,75.0,43.0,2.0,489.0,11.4,3.0,5.0,0.0,8.0,2.7,62.0,62.0,1.0,0.0,62.0,53.0,45.0,4.0,673.0,15.0,,,,,,15.7,31.0,3.0,0.0,47.0,53.0,29.0,3.0,409.0,14.1,,,,,,,,,,,21.9,60.0,12.0,0.0,263.0,,,,,,15.2,25.0,5.0,0.0,76.0,,,,,,,,,,,,,,
Racey McMath,Wide Receiver,LSU,SEC,75.0,211.0,4.36,,34.0,124.0,7.38,4.38,22.0,3,0,1,1,1,0,0,,,,,,,,,30.0,14.0,1.0,195.0,13.9,,,,,,60.0,17.0,3.0,285.0,16.8,,,,,,,,,,,23.0,2.0,0.0,42.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Camp,Wide Receiver,Georgia Tech,ACC,74.0,220.0,4.48,29.0,39.5,125.0,7.0,4.14,23.0,4,0,1,1,1,1,0,,,,,,,,,59.0,25.0,4.0,392.0,15.7,,,,,,33.0,7.0,1.0,134.0,19.1,,,,,,,,,,,37.0,12.0,0.0,165.0,13.8,1.0,3.0,0.0,3.0,3.0,,,,,,49.0,1.0,0.0,49.0,49.0,,,,,,,,,,,,,,,,,,,,,-9.0,-9.0,1.0,0.0,-9.0,,,,,,,,,,,,,,
Demetric Felton,Wide Receiver,UCLA,Pac-12,69.0,189.0,4.55,,,,,,23.0,4,0,1,1,1,1,0,1.0,1.0,0.0,,,,,,28.0,22.0,3.0,159.0,7.2,132.0,40.0,5.0,668.0,5.1,94.0,55.0,4.0,594.0,10.8,86.0,75.0,1.0,331.0,3.8,21.0,35.0,5.0,0.0,105.0,31.0,20.0,1.0,207.0,10.4,5.0,14.0,0.0,27.0,5.4,21.0,33.0,8.0,0.0,168.0,1.0,2.0,0.0,-2.0,-1.0,10.0,25.0,1.0,75.0,7.5,,,,,,18.8,100.0,18.0,1.0,338.0,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,
Seth Williams,Wide Receiver,Auburn,SEC,75.0,211.0,4.49,12.0,37.0,124.0,7.2,4.43,21.0,3,1,1,1,0,0,0,1.0,1.0,0.0,,,,,,44.0,47.0,4.0,744.0,15.8,,,,,,48.0,59.0,8.0,830.0,14.1,,,,,,,,,,,62.0,26.0,5.0,534.0,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,
Dazz Newsome,Wide Receiver,North Carolina,ACC,70.0,190.0,4.59,12.0,34.0,121.0,7.38,4.38,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,6.8,20.0,12.0,0.0,81.0,75.0,54.0,6.0,684.0,12.7,2.0,15.0,1.0,21.0,10.5,57.0,72.0,10.0,1018.0,14.1,3.0,4.0,0.0,9.0,3.0,20.8,34.0,6.0,0.0,125.0,55.0,44.0,2.0,506.0,11.5,7.0,84.0,1.0,96.0,13.7,19.0,19.0,1.0,0.0,19.0,54.0,18.0,0.0,227.0,12.6,8.0,20.0,0.0,52.0,6.5,9.9,38.0,17.0,0.0,168.0,,,,,,14.3,75.0,20.0,1.0,286.0,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,,,
Tre Nixon,Wide Receiver,UCF,American Athletic,72.0,187.0,4.44,18.0,35.5,125.0,6.81,4.27,23.0,4,0,1,1,1,1,0,,,,,,,,,51.0,18.0,2.0,258.0,14.3,,,,,,53.0,49.0,7.0,830.0,16.9,,,,,,,,,,,47.0,40.0,4.0,562.0,14.1,,,,,,,,,,,19.0,1.0,0.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Skowronek,Wide Receiver,Notre Dame,FBS Independents,75.0,220.0,,13.0,,,,,24.0,4,0,0,1,1,1,1,1.0,1.0,0.0,,,,,,73.0,29.0,5.0,439.0,15.1,2.0,13.0,1.0,17.0,8.5,20.0,12.0,0.0,141.0,11.8,,,,,,,,,,,40.0,45.0,3.0,562.0,12.5,,,,,,,,,,,58.0,45.0,5.0,644.0,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0
Kawaan Baker,Wide Receiver,South Alabama,Sun Belt,73.0,215.0,4.44,21.0,39.5,129.0,7.42,4.41,23.0,4,0,1,1,1,1,0,1.0,0.0,0.0,,,,,,80.0,50.0,8.0,656.0,13.1,13.0,12.0,0.0,42.0,3.2,75.0,35.0,3.0,574.0,16.4,20.0,26.0,2.0,83.0,4.2,18.8,24.0,5.0,0.0,94.0,51.0,33.0,4.0,494.0,15.0,60.0,28.0,9.0,258.0,4.3,16.5,25.0,16.0,0.0,264.0,20.0,7.0,1.0,102.0,14.6,,,,,,,,,,,17.5,24.0,2.0,0.0,35.0,,,,,,25.0,44.0,6.0,0.0,150.0,,,,,,,,,1.0,1.0,0.0,,,
Dax Milne,Wide Receiver,BYU,FBS Independents,73.0,193.0,4.54,14.0,31.0,114.0,,4.19,22.0,3,0,1,1,1,0,0,2.0,1.0,0.0,11.4,31.0,5.0,0.0,57.0,78.0,70.0,8.0,1189.0,17.0,11.0,15.0,0.0,67.0,6.1,36.0,21.0,2.0,285.0,13.6,4.0,6.0,0.0,16.0,4.0,,,,,,9.0,11.0,1.0,75.0,6.8,9.0,9.0,0.0,23.0,2.6,,,,,,,,,,,,,,,,0.5,4.0,6.0,0.0,3.0,16.0,20.0,2.0,0.0,32.0,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,
