draft_year,overall_pick,round,pick,name,position,college,conference,nfl_team,height,weight,pre_draft_ranking,pre_draft_grade,Y0_college,Y0_season,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_season,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_passing_ATT,Y0_passing_COMPLETIONS,Y0_passing_INT,Y0_passing_PCT,Y0_passing_TD,Y0_passing_YDS,Y0_passing_YPA,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_season,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y1_passing_ATT,Y1_passing_COMPLETIONS,Y1_passing_INT,Y1_passing_PCT,Y1_passing_TD,Y1_passing_YDS,Y1_passing_YPA,Y2_passing_ATT,Y2_passing_COMPLETIONS,Y2_passing_INT,Y2_passing_PCT,Y2_passing_TD,Y2_passing_YDS,Y2_passing_YPA,Y3_college,Y3_season,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y0_punting_In 20,Y0_punting_LONG,Y0_punting_NO,Y0_punting_TB,Y0_punting_YDS,Y0_punting_YPP,Y1_punting_In 20,Y1_punting_LONG,Y1_punting_NO,Y1_punting_TB,Y1_punting_YDS,Y1_punting_YPP,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y3_passing_ATT,Y3_passing_COMPLETIONS,Y3_passing_INT,Y3_passing_PCT,Y3_passing_TD,Y3_passing_YDS,Y3_passing_YPA,Y0_kicking_FGA,Y0_kicking_FGM,Y0_kicking_LONG,Y0_kicking_PCT,Y0_kicking_PTS,Y0_kicking_XPA,Y0_kicking_XPM,Y1_kicking_FGA,Y1_kicking_FGM,Y1_kicking_LONG,Y1_kicking_PCT,Y1_kicking_PTS,Y1_kicking_XPA,Y1_kicking_XPM,Y2_kicking_FGA,Y2_kicking_FGM,Y2_kicking_LONG,Y2_kicking_PCT,Y2_kicking_PTS,Y2_kicking_XPA,Y2_kicking_XPM,Y3_kicking_FGA,Y3_kicking_FGM,Y3_kicking_LONG,Y3_kicking_PCT,Y3_kicking_PTS,Y3_kicking_XPA,Y3_kicking_XPM,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_punting_In 20,Y2_punting_LONG,Y2_punting_NO,Y2_punting_TB,Y2_punting_YDS,Y2_punting_YPP,Y3_punting_In 20,Y3_punting_LONG,Y3_punting_NO,Y3_punting_TB,Y3_punting_YDS,Y3_punting_YPP,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
2021,1,1,1,Trevor Lawrence,Quarterback,Clemson,ACC,Jacksonville,78.0,213.0,1.0,97.0,Clemson,2020.0,,,,,,,,5.0,3.0,0.0,Clemson,2019.0,,,,,,,,,,334.0,231.0,5.0,0.692,24.0,3153.0,9.4,,,,,,68.0,34.0,8.0,203.0,3.0,,,,,,103.0,67.0,9.0,563.0,5.5,Clemson,2018.0,,,,,,,,,,,60.0,32.0,1.0,177.0,3.0,,,,,,407.0,268.0,8.0,0.658,36.0,3665.0,9.0,398.0,259.0,4.0,0.651,30.0,3280.0,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,,,,,,,,,,
2021,2,1,2,Zach Wilson,Quarterback,BYU,FBS Independents,New York,74.0,214.0,4.0,93.0,BYU,2020.0,,,,,,,,2.0,0.0,0.0,BYU,2019.0,,,,,,,,,,333.0,244.0,3.0,0.733,32.0,3651.0,11.0,,,,,,69.0,33.0,10.0,265.0,3.8,,,,,,67.0,26.0,3.0,167.0,2.5,BYU,2018.0,,,,,,,,,,,73.0,36.0,2.0,212.0,2.9,,,,,,319.0,199.0,9.0,0.624,11.0,2381.0,7.5,182.0,120.0,3.0,0.659,12.0,1578.0,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,4,1,4,Kyle Pitts,Tight End,Florida,SEC,Atlanta,78.0,245.0,2.0,94.0,Florida,2020.0,,,,,,,,,,,Florida,2019.0,,,,,,,,,,,,,,,,,71.0,43.0,12.0,770.0,17.9,,,,,,32.0,54.0,5.0,649.0,12.0,,,,,,Florida,2018.0,,,,,,52.0,3.0,1.0,73.0,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,5,1,5,Ja'Marr Chase,Wide Receiver,LSU,SEC,Cincinnati,72.0,201.0,3.0,94.0,,,,,,,,,,,,,LSU,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,84.0,20.0,1780.0,21.2,1.0,5.0,0.0,5.0,5.0,LSU,2018.0,,,,,,45.0,23.0,3.0,313.0,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,6,1,6,Jaylen Waddle,Wide Receiver,Alabama,SEC,Miami,70.0,180.0,7.0,93.0,Alabama,2020.0,,,,,,,,,,,Alabama,2019.0,,,,,24.4,77.0,20.0,1.0,487.0,,,,,,,,90.0,28.0,4.0,591.0,21.1,3.0,11.0,0.0,12.0,4.0,58.0,33.0,6.0,560.0,17.0,1.0,5.0,0.0,5.0,5.0,Alabama,2018.0,,,,,,94.0,45.0,7.0,848.0,18.8,,,,,,9.8,22.0,4.0,0.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,11.0,2.0,0.0,13.0,35.0,98.0,5.0,1.0,175.0,12.9,63.0,18.0,1.0,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,,,,,,
2021,7,1,7,Penei Sewell,Offensive Tackle,Oregon,Pac-12,Detroit,77.0,331.0,5.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,8,1,8,Jaycee Horn,Cornerback,South Carolina,SEC,Carolina,73.0,205.0,14.0,91.0,South Carolina,2020.0,6.0,0.0,0.0,10.0,0.0,1.0,16.0,,,,South Carolina,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Carolina,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,2.0,0.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,1.0,29.0,0.0,2.0,40.0,,,,,,,,,,,,,6.0,0.0,2.0,27.0,0.0,4.0,40.0,,,,,,,,,,,,,
2021,9,1,9,Pat Surtain II,Cornerback,Alabama,SEC,Denver,74.0,208.0,10.0,92.0,Alabama,2020.0,11.0,2.0,0.0,20.0,1.0,3.5,35.0,0.0,0.0,1.0,Alabama,2019.0,12.0,2.0,0.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alabama,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,1.0,1.0,25.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,20.0,1.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,8.0,1.0,0.0,32.0,0.0,1.0,42.0,,,,,,,,,,,,,7.0,1.0,0.0,28.0,0.0,1.5,37.0,,,,,,,,,,,,,
2021,10,1,10,DeVonta Smith,Wide Receiver,Alabama,SEC,Philadelphia,72.0,170.0,6.0,93.0,Alabama,2020.0,,,,,,,,0.0,0.0,1.0,Alabama,2019.0,,,,,,,,,,,,,,,,,66.0,117.0,23.0,1856.0,15.9,4.0,14.0,1.0,6.0,1.5,85.0,68.0,14.0,1256.0,18.5,,,,,,Alabama,2018.0,,,,,,57.0,42.0,6.0,693.0,16.5,,,,,,13.0,22.0,4.0,0.0,52.0,,,,,,,,,,,,,,,Alabama,2017.0,41.0,8.0,3.0,160.0,20.0,,,,,,,,,,21.5,84.0,11.0,1.0,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,
2021,11,1,11,Justin Fields,Quarterback,Ohio State,Big Ten,Chicago,75.0,227.0,11.0,91.0,Ohio State,2020.0,,,,,,,,2.0,0.0,0.0,Ohio State,2019.0,,,,,,,,,,225.0,158.0,6.0,0.702,22.0,2100.0,9.3,,,,,,81.0,44.0,5.0,383.0,4.7,,,,,,137.0,51.0,10.0,484.0,3.5,Georgia,2018.0,,,,,,,,,,,42.0,47.0,4.0,266.0,6.3,,,,,,354.0,238.0,3.0,0.672,41.0,3273.0,9.2,39.0,27.0,0.0,0.692,4.0,328.0,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,
