name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,draft_year,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Fred Warner,Inside Linebacker,BYU,FBS Independents,75.0,236.0,4.64,21.0,38.5,119.0,6.9,4.28,21.0,4,1,1,1,0,0,0,5.0,0.0,1.0,48.0,0.0,9.0,87.0,0.0,0.0,1.0,20.3,3.0,1.0,61.0,26.0,1.0,0.0,26.0,13.5,2.0,0.0,27.0,2018,20.0,1.0,1.0,20.0,,,,6.0,0.0,1.5,47.0,1.0,10.5,86.0,,,,,,,,,,,,,,,,,,,,
Josey Jewell,Inside Linebacker,Iowa,Big Ten,73.0,234.0,4.82,18.0,33.0,117.0,6.8,4.27,23.0,3,0,0,1,1,1,0,11.0,2.0,4.5,69.0,0.0,13.5,132.0,0.0,0.0,1.0,,,,,18.5,2.0,0.0,37.0,15.8,4.0,1.0,63.0,2018,,,,,,,,9.0,5.0,1.5,58.0,0.0,6.0,124.0,,,,,,,,,,,,,,,,,,,,
Kenny Young,Inside Linebacker,UCLA,Pac-12,73.0,236.0,4.6,23.0,36.0,117.0,7.38,4.48,23.0,3,0,0,1,1,1,0,3.0,0.0,1.0,77.0,0.0,8.5,109.0,0.0,0.0,1.0,40.0,1.0,0.0,40.0,,,,,23.0,1.0,1.0,23.0,2018,,,,,0.0,0.0,3.0,2.0,0.0,5.0,57.0,0.0,8.5,90.0,,,,,,,,,,,,,,,,,,,,
Ja'Whaun Bentley,Inside Linebacker,Purdue,Big Ten,74.0,252.0,,,,,,,22.0,2,0,0,1,1,0,0,2.0,0.0,0.0,23.0,1.0,4.5,46.0,,,,,,,,76.0,1.0,1.0,76.0,,,,,2018,,,,,,,,1.0,0.0,0.0,37.0,0.0,7.0,50.0,,,,,,,,,,,,,,,,,,,,
Micah Kiser,Inside Linebacker,Virginia,ACC,72.0,238.0,4.66,,35.5,121.0,7.05,4.24,23.0,2,0,0,0,1,1,0,4.0,2.0,5.0,50.0,0.0,9.5,143.0,0.0,0.0,2.0,7.0,1.0,0.0,7.0,,,,,,,,,2018,,,,,0.0,0.0,1.0,6.0,2.0,6.5,65.0,0.0,10.0,133.0,,,,,,,,,,,,,,,,,,,,
Genard Avery,Inside Linebacker,Memphis,American Athletic,73.0,248.0,4.59,26.0,36.0,124.0,6.9,4.36,23.0,2,0,0,0,1,1,0,2.0,7.0,8.5,52.0,0.0,22.0,80.0,0.0,0.0,1.0,25.5,2.0,2.0,51.0,,,,,,,,,2018,,,,,,,,2.0,6.0,5.0,61.0,2.0,10.0,79.0,,,,,,,,,,,,,,,,,,,,
Shaun Dion Hamilton,Inside Linebacker,Alabama,SEC,72.0,228.0,,,,,,,22.0,2,0,0,1,1,0,0,2.0,2.0,2.5,20.0,0.0,5.5,40.0,,,,20.0,2.0,0.0,40.0,,,,,,,,,2018,,,,,,,,1.0,1.0,2.0,31.0,0.0,9.0,64.0,,,,,,,,,,,,,,,,,,,,
Jack Cichy,Inside Linebacker,Wisconsin,Big Ten,74.0,238.0,,18.0,,,,,23.0,2,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,2.0,3.0,1.5,45.0,0.0,7.0,60.0,,,,,,,,,,,,,,,,,,,,
Azeem Victor,Inside Linebacker,Washington,Pac-12,74.0,240.0,4.72,19.0,32.5,115.0,7.2,4.4,22.0,3,0,1,1,1,0,0,3.0,0.0,2.0,21.0,0.0,2.0,30.0,,,,,,,,,,,,27.0,1.0,1.0,27.0,2018,,,,,0.0,0.0,1.0,1.0,0.0,0.0,46.0,0.0,3.0,68.0,,,,,,,,,,,,,,,,,,,,
Matthew Adams,Inside Linebacker,Houston,American Athletic,72.0,240.0,,,,,,,22.0,2,0,0,1,1,0,0,2.0,0.0,1.5,54.0,0.0,6.5,88.0,0.0,0.0,1.0,,,,,,,,,,,,,2018,,,,,0.0,0.0,1.0,0.0,2.0,2.0,57.0,0.0,7.5,82.0,,,,,,,,,,,,,,,,,,,,
