draft_year,overall_pick,round,pick,name,position,college,conference,nfl_team,height,weight,pre_draft_ranking,pre_draft_grade,Y0_college,Y0_season,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_season,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_passing_ATT,Y0_passing_COMPLETIONS,Y0_passing_INT,Y0_passing_PCT,Y0_passing_TD,Y0_passing_YDS,Y0_passing_YPA,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_season,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y1_passing_ATT,Y1_passing_COMPLETIONS,Y1_passing_INT,Y1_passing_PCT,Y1_passing_TD,Y1_passing_YDS,Y1_passing_YPA,Y2_passing_ATT,Y2_passing_COMPLETIONS,Y2_passing_INT,Y2_passing_PCT,Y2_passing_TD,Y2_passing_YDS,Y2_passing_YPA,Y3_college,Y3_season,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y0_punting_In 20,Y0_punting_LONG,Y0_punting_NO,Y0_punting_TB,Y0_punting_YDS,Y0_punting_YPP,Y1_punting_In 20,Y1_punting_LONG,Y1_punting_NO,Y1_punting_TB,Y1_punting_YDS,Y1_punting_YPP,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y3_passing_ATT,Y3_passing_COMPLETIONS,Y3_passing_INT,Y3_passing_PCT,Y3_passing_TD,Y3_passing_YDS,Y3_passing_YPA,Y0_kicking_FGA,Y0_kicking_FGM,Y0_kicking_LONG,Y0_kicking_PCT,Y0_kicking_PTS,Y0_kicking_XPA,Y0_kicking_XPM,Y1_kicking_FGA,Y1_kicking_FGM,Y1_kicking_LONG,Y1_kicking_PCT,Y1_kicking_PTS,Y1_kicking_XPA,Y1_kicking_XPM,Y2_kicking_FGA,Y2_kicking_FGM,Y2_kicking_LONG,Y2_kicking_PCT,Y2_kicking_PTS,Y2_kicking_XPA,Y2_kicking_XPM,Y3_kicking_FGA,Y3_kicking_FGM,Y3_kicking_LONG,Y3_kicking_PCT,Y3_kicking_PTS,Y3_kicking_XPA,Y3_kicking_XPM,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_punting_In 20,Y2_punting_LONG,Y2_punting_NO,Y2_punting_TB,Y2_punting_YDS,Y2_punting_YPP,Y3_punting_In 20,Y3_punting_LONG,Y3_punting_NO,Y3_punting_TB,Y3_punting_YDS,Y3_punting_YPP,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
2022,1,1,1,Travon Walker,Defensive End,Georgia,SEC,Jacksonville,77.0,272.0,2.0,93.0,Georgia,2021.0,2.0,6.0,6.0,19.0,0.0,7.5,37.0,0.0,0.0,1.0,Georgia,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgia,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,6.0,0.0,2.0,13.0,,,,,,,,,,,,,1.0,1.0,2.5,9.0,0.0,3.5,15.0,0.0,0.0,1.0,,,,,,,,,,
2022,2,1,2,Aidan Hutchinson,Defensive End,Michigan,Big Ten,Detroit,79.0,260.0,1.0,94.0,Michigan,2021.0,3.0,12.0,14.0,36.0,0.0,16.5,62.0,0.0,0.0,1.0,Michigan,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michigan,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michigan,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,5.0,0.0,0.0,6.0,,,,,,,,,,,,,6.0,4.0,4.5,34.0,0.0,10.0,68.0,,,,,,,0.0,1.0,0.0,5.0,0.0,1.0,12.0
2022,3,1,3,Derek Stingley Jr.,Cornerback,LSU,SEC,Houston,72.0,190.0,8.0,92.0,LSU,2021.0,0.0,0.0,0.0,6.0,0.0,3.5,8.0,,,,LSU,2020.0,,,,,16.2,48.0,6.0,0.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSU,2019.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,32.0,18.0,0.0,164.0,2.8,6.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,2.0,5.0,0.0,0.0,19.0,0.0,2.5,27.0,,,,,,,,,,,,,14.0,0.0,0.0,29.0,0.0,0.0,35.0,1.0,1.0,1.0,,,,,,,,,,
2022,4,1,4,Ahmad Gardner,Cornerback,Cincinnati,American Athletic,New York,75.0,190.0,5.0,93.0,Cincinnati,2021.0,4.0,1.0,3.0,28.0,1.0,5.0,40.0,,,,Cincinnati,2020.0,6.0,3.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.0,0.0,7.0,,,,,,,,,,,,,,,,26.0,3.0,2.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.5,16.0,0.0,0.5,28.0,,,,,,,,,,,,,8.0,0.0,0.0,24.0,2.0,0.0,31.0,,,,,,,,,,,,,
2022,5,1,5,Kayvon Thibodeaux,Defensive End,Oregon,Pac-12,New York,76.0,254.0,7.0,93.0,Oregon,2021.0,1.0,8.0,7.0,35.0,0.0,12.0,49.0,,,,Oregon,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oregon,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,3.0,23.0,0.0,9.5,38.0,,,,,,,,,,,,,3.0,4.0,9.0,24.0,0.0,14.0,35.0,,,,,,,,,,,,,
2022,6,1,6,Ikem Ekwonu,Offensive Tackle,NC State,ACC,Carolina,76.0,310.0,3.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,8,1,8,Drake London,Wide Receiver,USC,Pac-12,Atlanta,76.0,219.0,11.0,92.0,USC,2021.0,,,,,,,,,,,USC,2020.0,,,,,,,,,,,,,,,,,44.0,88.0,7.0,1084.0,12.3,1.0,2.0,0.0,2.0,2.0,65.0,33.0,3.0,502.0,15.2,,,,,,USC,2019.0,,,,,,46.0,39.0,5.0,567.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,9,1,9,Charles Cross,Offensive Tackle,Mississippi State,SEC,Seattle,77.0,307.0,10.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,10,1,10,Garrett Wilson,Wide Receiver,Ohio State,Big Ten,New York,72.0,183.0,6.0,93.0,Ohio State,2021.0,,,,,,,,,,,Ohio State,2020.0,,,,,7.3,22.0,7.0,0.0,51.0,,,,,,,,77.0,70.0,12.0,1058.0,15.1,4.0,51.0,1.0,76.0,19.0,65.0,43.0,6.0,723.0,16.8,2.0,62.0,0.0,67.0,33.5,Ohio State,2019.0,,,,,,47.0,30.0,5.0,432.0,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,23.0,13.0,0.0,68.0,4.0,4.0,1.0,0.0,4.0,6.1,52.0,14.0,0.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,,,,,,,,,,
2022,11,1,11,Chris Olave,Wide Receiver,Ohio State,Big Ten,New Orleans,72.0,187.0,15.0,91.0,Ohio State,2021.0,,,,,,,,,,,Ohio State,2020.0,,,,,,,,,,,,,,,,,61.0,65.0,13.0,936.0,14.4,,,,,,56.0,50.0,7.0,729.0,14.6,1.0,0.0,0.0,0.0,0.0,Ohio State,2019.0,15.0,15.0,1.0,0.0,15.0,58.0,49.0,12.0,849.0,17.3,2.0,4.0,0.0,5.0,2.5,,,,,,,,,,,,,,,,,,,,Ohio State,2018.0,29.0,12.0,3.0,197.0,16.4,,,,,,,,,,4.0,4.0,1.0,0.0,4.0,,,,,,18.0,18.0,1.0,0.0,18.0,,,,,,,,,,3.0,3.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
