name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Mason Schreck,Tight End,Buffalo,Mid-American,77.0,253.0,,,,,,,23.0,4,0,1,1,1,1,0,,,,75.0,59.0,4.0,651.0,11.0,,,,,,40.0,21.0,0.0,209.0,10.0,,,,,,27.0,10.0,0.0,106.0,10.6,,,,,,21.0,17.0,2.0,147.0,8.6,,,,,,2017,,,,,,,,,
Hayden Hurst,Tight End,South Carolina,SEC,77.0,250.0,4.67,,31.5,120.0,7.19,4.37,25.0,3,0,0,0,0,1,1,,,,62.0,44.0,2.0,559.0,12.7,9.0,13.0,1.0,30.0,3.3,47.0,48.0,1.0,616.0,12.8,2.0,7.0,0.0,9.0,4.5,47.0,8.0,0.0,106.0,13.3,,,,,,,,,,,,,,,,2018,,,,,,,,,
Mike Gesicki,Tight End,Penn State,Big Ten,78.0,247.0,4.54,22.0,41.5,129.0,6.76,4.1,22.0,4,1,1,1,1,0,0,,,,35.0,57.0,9.0,563.0,9.9,,,,,,53.0,48.0,5.0,679.0,14.1,,,,,,33.0,13.0,1.0,125.0,9.6,,,,,,30.0,11.0,0.0,114.0,10.4,,,,,,2018,,,,,,,,,
Mark Andrews,Tight End,Oklahoma,Big 12,77.0,256.0,4.67,17.0,31.0,113.0,7.34,4.38,23.0,3,0,0,1,1,1,0,3.0,1.0,0.0,59.0,62.0,8.0,958.0,15.5,,,,,,64.0,31.0,7.0,489.0,15.8,,,,,,61.0,19.0,7.0,318.0,16.7,,,,,,,,,,,,,,,,2018,,,,,,,,,
Jordan Akins,Tight End,UCF,American Athletic,75.0,249.0,,,,,,,26.0,4,0,0,0,0,1,1,1.0,1.0,0.0,48.0,32.0,4.0,515.0,16.1,,,,,,71.0,23.0,2.0,347.0,15.1,,,,,,33.0,14.0,2.0,152.0,10.9,,,,,,22.0,12.0,0.0,135.0,11.3,,,,,,2018,,,,,,,,,
Ian Thomas,Tight End,Indiana,Big Ten,76.0,259.0,4.74,,36.0,123.0,7.15,4.2,22.0,2,0,0,1,1,0,0,,,,71.0,25.0,5.0,376.0,15.0,,,,,,20.0,3.0,0.0,28.0,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,
Chris Herndon,Tight End,Miami,ACC,76.0,253.0,,21.0,,,,,22.0,3,0,1,1,1,0,0,,,,51.0,40.0,4.0,477.0,11.9,,,,,,48.0,28.0,2.0,334.0,11.9,,,,,,46.0,18.0,1.0,237.0,13.2,,,,,,,,,,,,,,,,2018,1.0,0.0,0.0,,,,,,
Will Dissly,Tight End,Washington,Pac-12,76.0,262.0,4.87,15.0,28.0,111.0,7.07,4.4,22.0,2,0,0,1,1,0,0,,,,52.0,20.0,2.0,281.0,14.1,,,,,,27.0,4.0,1.0,47.0,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,
Durham Smythe,Tight End,Notre Dame,FBS Independents,77.0,253.0,4.81,18.0,31.0,110.0,7.17,4.23,23.0,4,0,1,1,1,1,0,,,,33.0,15.0,1.0,244.0,16.3,,,,,,31.0,9.0,4.0,112.0,12.4,,,,,,7.0,3.0,1.0,18.0,6.0,,,,,,7.0,1.0,0.0,7.0,7.0,,,,,,2018,1.0,0.0,0.0,,,,,,
Dalton Schultz,Tight End,Stanford,Pac-12,77.0,244.0,4.75,15.0,32.0,120.0,7.0,4.4,22.0,3,0,1,1,1,0,0,1.0,1.0,0.0,36.0,22.0,3.0,212.0,9.6,,,,,,30.0,23.0,1.0,222.0,9.7,,,,,,22.0,10.0,1.0,121.0,12.1,,,,,,,,,,,,,,,,2018,2.0,0.0,0.0,,,,,,
